182|布达佩斯大饭店|11525673|8.7|2014|0 4 6|0 2
183|这个男人来自地球|2300586|8.5|2007|0|0 11
184|爱·回家|1299361|9.1|2002|9|0 9 13
185|麦兜故事|1302476|8.5|2001|3|0 2 7
186|爱在暹罗|2365260|8.3|2007|8|0 1 9 13
187|蝴蝶|1292056|8.6|2002|5|0 2 13
188|与狼共舞|1293764|8.9|1990|0|0 4 13
189|中央车站|1292218|8.7|1998|5 9|0
190|魔女宅急便|1307811|8.4|1989|7|4 5 7
191|非常嫌疑犯|1292214|8.6|1995|0 6|0 3 8 10
192|哪吒闹海|1307315|8.7|1979|9|4 5 7
193|花样年华|1291557|8.3|2000|3 5|0 1
194|黄金三镖客|1401118|9.1|1966|2 9|4 13
195|罪恶之城|1309027|8.4|2005|0|3 6 10
196|夜访吸血鬼|1299327|8.3|1994|0|0 5 10
197|唐伯虎点秋香|1306249|8.2|1993|3|1 2 13
198|终结者2|1291844|8.5|1991|0 5|6 11
199|美国丽人|1292062|8.4|1999|0|0 9
200|暖暖内含光|1308777|8.4|2004|0|0 1 5
201|末路狂花|1291992|8.6|1991|0 5|0 3 10
202|新龙门客栈|1292287|8.4|1992|1 3|0 6 13
203|勇士|3217169|8.9|2011|0|0 9 13
204|青蛇|1303394|8.3|1993|3|0 5 13
205|偷拐抢骗|1301171|8.5|2000|0 4|2 3
206|城市之光|1293908|9.2|1931|0|0 1 2
207|喜剧之王|1302425|8.2|1999|3|0 1 2
208|忠犬八公物语|1959195|9.0|1987|7|0
209|黑客帝国3：矩阵革命|1302467|8.4|2003|0 9|6 11
210|初恋这件小事|4739952|8.3|2010|8|1 2
211|遗愿清单|1867345|8.5|2007|0|0 2 4
212|7号房的礼物|10777687|8.6|2013|9|0 2 9
213|恐怖游轮|3011051|8.2|2009|4 9|0 8 10
214|东京物语|1291568|9.1|1953|7|0 9
215|跳出我天地|1301169|8.7|2000|4 5|0 9 13
216|无耻混蛋|1438652|8.3|2009|0 6|0 3
